Title,Date
"Riverdale: Season 5: Chapter Eighty-Six: The Pincushion Man","08/05/2021"
"Riverdale: Season 5: Chapter Eighty-Five: Destroyer","08/05/2021"
"Riverdale: Season 5: Chapter Eighty-Four: Lock & Key","08/05/2021"
"Ginny & Georgia: Season 1: The Worst Betrayal Since Jordyn and Kylie","10/04/2021"
"Ginny & Georgia: Season 1: Feelings Are Hard","08/04/2021"
"Ginny & Georgia: Season 1: Check One, Check Other","08/04/2021"
"Ginny & Georgia: Season 1: Happy Sweet Sixteen, Jerk","08/04/2021"
"Ginny & Georgia: Season 1: I’m Triggered","08/04/2021"
"The Bold Type: Season 1: Pilot","08/04/2021"
"Ginny & Georgia: Season 1: Boo, Bitch","07/04/2021"
"Ginny & Georgia: Season 1: Lydia Bennet Is Hundo a Feminist","07/04/2021"
"Ginny & Georgia: Season 1: Next Level Rich People Sh*t","07/04/2021"
"Ginny & Georgia: Season 1: It's a Face Not a Mask","07/04/2021"
"Ginny & Georgia: Season 1: Pilot","07/04/2021"
"The Irregulars: Season 1: Chapter One: An Unkindness in London","07/04/2021"
"Brooklyn Nine-Nine: Season 7: Captain Kim","28/03/2021"
"Brooklyn Nine-Nine: Season 7: Manhunter","28/03/2021"
"Riverdale: Season 5: Chapter Eighty-Three: Fire in the Sky","15/03/2021"
"Moxie","05/03/2021"
"Riverdale: Season 5: Chapter Eighty-Two: Back to School","03/03/2021"
"Riverdale: Season 5: Chapter Eighty-One: The Homecoming","03/03/2021"
"Once Upon a Time: Season 2: The Evil Queen","24/02/2021"
"Once Upon a Time: Season 2: Lacey","24/02/2021"
"Riverdale: Season 5: Chapter Eighty: Purgatorio","15/02/2021"
"To All The Boys: Always And Forever","15/02/2021"
"The Nut Job","05/02/2021"
"Animal Crackers","05/02/2021"
"Riverdale: Season 5: Chapter Seventy-Nine: Graduation","05/02/2021"
"Mean Girls","02/02/2021"
"Cursed: Season 1: Cursed","01/02/2021"
"Cursed: Season 1: Nimue","01/02/2021"
"I AM A KILLER: Season 2: In Her Hands","31/01/2021"
"Once Upon a Time: Season 2: Selfless, Brave and True","30/01/2021"
"Once Upon a Time: Season 2: Welcome to Storybrooke","30/01/2021"
"Once Upon a Time: Season 2: The Miller's Daughter","30/01/2021"
"Once Upon a Time: Season 2: The Queen Is Dead","28/01/2021"
"Once Upon a Time: Season 2: Manhattan","28/01/2021"
"Riverdale: Season 5: Chapter Seventy-Eight: The Preppy Murders","28/01/2021"
"Once Upon a Time: Season 2: Tiny","28/01/2021"
"Once Upon a Time: Season 2: In the Name of the Brother","28/01/2021"
"Once Upon a Time: Season 2: The Outsider","28/01/2021"
"The Witcher: Season 1: The End’s Beginning","27/01/2021"
"Once Upon a Time: Season 2: The Cricket Game","24/01/2021"
"Once Upon a Time: Season 2: Queen of Hearts","24/01/2021"
"Once Upon a Time: Season 2: Into the Deep","24/01/2021"
"Once Upon a Time: Season 2: Child of the Moon","24/01/2021"
"Once Upon a Time: Season 2: Tallahassee","24/01/2021"
"Fate: The Winx Saga: Season 1: A Fanatic Heart","24/01/2021"
"Fate: The Winx Saga: Season 1: Wither Into the Truth","23/01/2021"
"Fate: The Winx Saga: Season 1: Some Wrecked Angel","23/01/2021"
"Fate: The Winx Saga: Season 1: Heavy Mortal Hopes","23/01/2021"
"Fate: The Winx Saga: Season 1: No Strangers Here","22/01/2021"
"Fate: The Winx Saga: Season 1: To the Waters and the Wild","22/01/2021"
"Once Upon a Time: Season 2: The Doctor","21/01/2021"
"Riverdale: Season 5: Chapter Seventy-Seven: Climax","21/01/2021"
"Disenchantment: Part 3: Subterranean Homesick Blues","16/01/2021"
"Once Upon a Time: Season 2: The Crocodile","15/01/2021"
"Once Upon a Time: Season 2: Lady of the Lake","14/01/2021"
"Once Upon a Time: Season 2: We Are Both","14/01/2021"
"Once Upon a Time: Season 2: Broken","13/01/2021"
"Once Upon a Time: Season 1: A Land Without Magic","13/01/2021"
"Once Upon a Time: Season 1: An Apple Red as Blood","13/01/2021"
"Once Upon a Time: Season 1: The Stranger","13/01/2021"
"Once Upon a Time: Season 1: The Return","13/01/2021"
"Once Upon a Time: Season 1: The Stable Boy","13/01/2021"
"Once Upon a Time: Season 1: Hat Trick","13/01/2021"
"Once Upon a Time: Season 1: Heart of Darkness","13/01/2021"
"Once Upon a Time: Season 1: Red-Handed","12/01/2021"
"Once Upon a Time: Season 1: Dreamy","12/01/2021"
"Once Upon a Time: Season 1: What Happened to Frederick","12/01/2021"
"Instant Family","12/01/2021"
"Once Upon a Time: Season 1: Skin Deep","10/01/2021"
"Once Upon a Time: Season 1: Fruit of the Poisonous Tree","08/01/2021"
"Once Upon a Time: Season 1: 7:15 A.M.","08/01/2021"
